,ticker_symbol,period_ending,accounts_payable,accounts_receivable,add'l_income/expense_items,after_tax_roe,capital_expenditures,capital_surplus,cash_ratio,cash_and_cash_equivalents,changes_in_inventories,common_stocks,cost_of_revenue,current_ratio,deferred_asset_charges,deferred_liability_charges,depreciation,earnings_before_interest_and_tax,earnings_before_tax,effect_of_exchange_rate,equity_earnings/loss_unconsolidated_subsidiary,fixed_assets,goodwill,gross_margin,gross_profit,income_tax,intangible_assets,interest_expense,inventory,investments,liabilities,long-term_debt,long-term_investments,minority_interest,misc._stocks,net_borrowings,net_cash_flow,net_cash_flow-operating,net_cash_flows-financing,net_cash_flows-investing,net_income,net_income_adjustments,net_income_applicable_to_common_shareholders,net_income-cont._operations,net_receivables,non-recurring_items,operating_income,operating_margin,other_assets,other_current_assets,other_current_liabilities,other_equity,other_financing_activities,other_investing_activities,other_liabilities,other_operating_activities,other_operating_items,pre-tax_margin,pre-tax_roe,profit_margin,quick_ratio,research_and_development,retained_earnings,sale_and_purchase_of_stock,"sales,_general_and_admin.",short-term_debt_/_current_portion_of_long-term_debt,short-term_investments,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_&_equity,total_revenue,treasury_stock,for_year,earnings_per_share,estimated_shares_outstanding,year,symbol,price_year,yearly_price,security,sec_filings,gics_sector,gics_sub_industry,address_of_headquarters,date_first_added,cik,pe_ratio
0,AAL,2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,AAL,2012,,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,
1,AAL,2013-12-31,0.6215775749674055,-0.581081081081081,0.3885772565017848,1.9130434782608696,0.649364406779661,1.256017039403621,0.41509433962264153,0.6353383458646616,,-0.9606299212598425,0.04952852652633584,0.3333333333333333,,3.192825112107623,0.01898101898101898,-0.26971869829012685,-0.1083844580777096,,,0.43702432472765257,,0.017241379310344827,0.0952911674561159,-0.39191564147627417,1.6593785960874567,0.35443037974683544,0.7448275862068966,-4.859477124183006,-1.4968287526427062,1.1575323215289488,,,,-3.164705882352941,2.350253807106599,-0.47470817120622566,6.865424430641822,1.4277530235518778,-0.022388059701492536,-0.08634146341463414,-0.022388059701492536,0.09916748285994123,0.3879003558718861,0.4481865284974093,8.452702702702704,4.0,0.06091370558375635,1.340255591054313,0.6324049513704686,-0.3181208053691275,0.13386348575215373,42.72727272727273,-0.01531656433617218,-0.6028368794326241,0.009467455621301775,-0.2,1.5806451612903225,-0.125,0.3333333333333333,,0.19382794335235679,,-0.004931802419665562,0.019027484143763214,1.377198124267292,0.7982985963419821,1.0253110859728507,0.5321273998446343,-0.658069362714411,0.8082439435940701,1.5010648367250354,0.075960571313619,-1.0,0.0004970178926441351,1.0089285714285716,-0.5133665008298507,2013,AAL,2013,0.7328181415189666,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,-0.13744163622166994
2,AAL,2014-12-31,-0.06170854271356784,0.7204301075268817,-0.9449136981270657,1.1343283582089552,0.7055234425176622,0.4289086102719033,-0.2,-0.1871264367816092,,0.4,0.41755150195117524,-0.15384615384615385,,-0.11336898395721925,0.3156862745098039,-4.0959214501510575,-2.473394495412844,,,0.19860844280596085,0.0012236906510034262,0.06779661016949153,0.719028237089799,-1.953757225433526,-0.03072263089571614,0.036214953271028034,-0.007905138339920948,-2.523285351397121,3.3659574468085105,0.04494235654269524,,,,-0.9230072463768116,-1.2212121212121212,3.562962962962963,-1.0829165569886812,-0.23675930781331936,-2.5714285714285716,-0.7106246663107314,-2.5714285714285716,-1.6420138115393184,0.13525641025641025,0.43112701252236135,2.037169406719085,1.0,-0.10395824271422358,-0.3870307167235495,-0.04414353419092756,1.2436023622047243,-0.5225014611338399,0.2494802494802495,-0.26731478377472345,7.928571428571429,0.5181711606096131,0.0,0.9875,0.0,-0.16666666666666666,,-0.2420325779036827,,0.6019515217222954,0.15975103734439833,-0.22216742695105413,0.022399356639386914,-0.17964113663338685,-0.029117774880486745,-1.7400219699743684,-0.08453864782599035,0.022399356639386914,0.594809856784953,,0.0004967709885742673,-1.3573333333333333,3.397654584230368,2014,AAL,2014,1.140080640957918,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,-6.989031644471787
3,AAL,2015-12-31,0.09297343616109682,-3.2,3.72,-0.055944055944055944,0.15816230465072492,-0.2341592335645854,-0.15,-0.38631221719457015,,-0.14285714285714285,-0.28962868117797697,-0.17045454545454544,,-0.195416164053076,0.10804769001490314,0.3408148328860698,0.43711083437110837,,,0.1917345347426789,0.0,0.15873015873015872,0.10595634480207178,-10.072727272727272,0.0040178571428571425,-0.007891770011273957,-0.14043824701195218,-0.7537520844913841,-0.3830409356725146,0.14255438509007043,,,,15.8,3.136986301369863,1.028896103896104,2.996825396825397,0.9216763998625902,1.6405274115197779,-5.911439114391144,1.6405274115197779,1.6405274115197779,-0.19536984754376058,0.31375,0.4601082607672394,0.5,0.02087378640776699,-0.16703786191536749,-0.11148887944468056,0.03794691818381224,-0.8824969400244798,-0.8103161397670549,-0.06863103953147877,-1.19,0.05328185328185328,0.375,-0.48427672955974843,1.7142857142857142,-0.1625,,-0.8563419761737912,2.655893536121673,0.028473363627574206,0.3303518187239117,-0.0705341575527025,0.1200694042799306,-0.15021276595744681,0.014995523724261415,1.7882236516575953,0.03824871371711484,0.1200694042799306,-0.038921453692848766,,0.0004965243296921549,1.8333333333333337,-0.0680491488753446,2015,AAL,2015,0.1592464334642908,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,-0.5908541999537799
4,AAP,2012-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,AAP,2012,,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,1158449,
5,AAP,2013-12-28,0.08291757506786811,-0.6376030933595583,3.4966666666666666,-0.1875,-0.2781342419482119,0.021295041473237027,0.7391304347826086,0.8599741519550719,-0.21815380832737863,0.0,0.04335449974203138,0.16129032258064516,,,0.09628898830878319,0.007753281198939073,0.0037239173559545824,,,-0.005038888334428071,1.6160180130647082,0.0,0.04974441872205487,-0.007461802676773659,0.7289651586063443,0.08206022280665465,0.10740146988944425,,-0.5948729015324061,0.741498624394295,,,,1.5116458620981148,-0.04785176135206679,-0.20434099296492972,1.5895142564519533,0.32650616533200477,0.010545051203343049,-1.0895714469563724,0.010545051203343049,0.010545051203343049,0.20763836322031096,,0.004568585837840305,-0.09090909090909091,0.24553136682059498,-0.10192380392321586,0.03391326441915511,0.38095238095238093,-0.18776679900892565,91.62249443207126,-0.03307240786374419,0.34067941069036894,,0.0,-0.21153846153846154,0.0,0.5294117647058824,,0.5234466358931319,3.149677419354839,0.06191080422547272,0.4609250398724083,,0.20611147306761823,0.2528685384083914,0.08014688014477048,0.2523436970861341,0.18966389665953595,0.20611147306761823,0.04654486065518421,2.9819154825613583,0.0004970178926441351,0.013232514177693815,-0.002652365509334098,2013,AAP,2013,0.12009391178025973,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,1158449,0.10546581964880103
6,AAP,2015-01-03,0.3858592486161674,0.4866473418033798,0.14603409933283915,-0.038461538461538464,0.1669876428429124,0.05957541319008532,-0.925,-0.9059112552147427,0.11863615592124337,0.0,0.6628007556603576,-0.09722222222222222,,,0.3700666522293607,0.28926300421105977,0.247440125926328,,,0.11352421475637503,3.98123952260615,-0.1,0.3694382109536288,0.22557534947153085,14.000902309913378,1.0046971434813479,0.5399441514505642,,0.12452884810236517,0.5544416663183453,,,,0.34540554973422577,-2.959328097052648,0.30030444750114627,0.7387724663891044,5.319228846722101,0.26053584100388505,-37.20593869731801,0.26053584100388505,0.26053584100388505,1.0887443938111276,,0.2898482246432779,-0.1,0.1535473782440919,1.7966838942026613,-0.7555713639009248,-4.349714906326365,-0.33702083869307947,11.382272317403066,-0.0378511223801035,-6.765325583507401,,-0.2,-0.04878048780487805,-0.16666666666666666,-0.5769230769230769,,0.4372635688524229,-1.0184494195688225,0.38971528974916547,-0.3646288209606987,,0.43085020164340904,0.1884140508910649,0.3217722173695242,0.3210034263176813,0.47198825066338257,0.43085020164340904,0.5158828078537513,0.04777087774585226,0.0004967709885742673,0.25932835820895517,0.0009588307825950541,2015,AAP,2015,0.9205135198725318,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,1158449,0.5250299950395216
7,AAP,2016-01-02,0.03900595071180115,-0.5545230143749093,-3.4204398447606725,-0.24,0.027582010628332296,0.07174235493698318,-0.3333333333333333,-0.13269195861317842,0.07220950816359699,0.0,-0.014099907833554226,0.0,,-0.02783907731807479,-0.05345055902322853,-0.04270696605763674,-0.03648095583022137,-0.05643896976483763,,0.001778594023868215,-0.005969303594641892,0.0,-0.006924939369451275,-0.028094126974743453,-0.08153717627401838,-0.10897994768962511,0.06040531324335686,,-0.10068838397100241,-0.2585999849661831,,,,-1.7109881441381944,-0.9862184957332805,-0.027290896499391388,-1.7743418687956993,-0.889274581260595,-0.041364855971244875,-0.5998571390777534,-0.041364855971244875,-0.041364855971244875,0.030980037080153493,,-0.030444634910943867,-0.1111111111111111,0.8066991713492359,-0.35271638695866675,0.05286273679754471,2.57128961660047,-0.2520649703420367,-0.9909607333947958,0.03141639084760397,-1.1169307835291893,,0.0,-0.20512820512820512,0.0,-0.09090909090909091,,0.291141674561645,-2.047050561797753,-0.0013634459339965568,0.027491408934707903,,0.021627638445797088,0.042122825371648416,0.039147431491105555,0.22853525267210942,-0.047912003901033756,0.021627638445797088,-0.010853769674317832,0.05895934326456955,0.0004965243296921549,-0.04444444444444442,0.0032228251459508117,2016,AAP,2016,-0.04985800946717237,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,1158449,-0.00566535874471526
8,AAPL,2013-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,AAPL,2013,,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",1982-11-30,320193,
9,AAPL,2014-09-27,0.3430417138282307,2.310415597742432,-0.1522491349480969,0.16666666666666666,0.17219840783833434,,-0.5698924731182796,-0.029104425275264745,-0.9218910585817061,0.17956891317547055,0.0530176537905934,-0.35714285714285715,,0.15466666666666667,0.1759656652360515,0.066354301664839,0.066354301664839,,,0.24263421100198831,1.9270767279644896,0.02631578947368421,0.09693020651903458,0.0651776185394115,-0.008853792773390764,,0.19671201814058956,-0.6245320688794609,0.6115384615384616,0.7091391509433962,0.2254577978628254,,,0.0810842803030303,-1.1181326501565614,0.11267841836544554,1.2925087001648452,-0.33146799313081066,0.06677106677106677,0.5350618738951091,0.06677106677106677,0.06677106677106677,0.30891508259317674,,0.0715116635033368,0.0,-0.268558103381267,0.4248764893926184,0.14203093476798925,-3.29723991507431,0.07024029574861368,1.5405232929164008,0.22852335708630245,-0.8453703703703703,,0.0,0.17073170731707318,0.0,-0.3597560975609756,0.3499441340782123,-0.16405770411295273,0.9825347066726378,0.10738688827331487,,-0.5726785102902575,0.11999516908212561,-0.0648827879813334,0.45329607402996014,-0.09714364341273503,0.4414686462714647,0.11999516908212561,0.06953952372593762,,0.0004967709885742673,-0.8378715963027729,5.579791340965276,2014,AAPL,2014,0.36649368716926634,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",1982-11-30,320193,7.428465685267447
