ticker_symbol,period_ending,accounts_payable,accounts_receivable,add'l_income/expense_items,after_tax_roe,capital_expenditures,capital_surplus,cash_ratio,cash_and_cash_equivalents,changes_in_inventories,common_stocks,cost_of_revenue,current_ratio,deferred_asset_charges,deferred_liability_charges,depreciation,earnings_before_interest_and_tax,earnings_before_tax,effect_of_exchange_rate,equity_earnings/loss_unconsolidated_subsidiary,fixed_assets,goodwill,gross_margin,gross_profit,income_tax,intangible_assets,interest_expense,inventory,investments,liabilities,long-term_debt,long-term_investments,minority_interest,misc._stocks,net_borrowings,net_cash_flow,net_cash_flow-operating,net_cash_flows-financing,net_cash_flows-investing,net_income,net_income_adjustments,net_income_applicable_to_common_shareholders,net_income-cont._operations,net_receivables,non-recurring_items,operating_income,operating_margin,other_assets,other_current_assets,other_current_liabilities,other_equity,other_financing_activities,other_investing_activities,other_liabilities,other_operating_activities,other_operating_items,pre-tax_margin,pre-tax_roe,profit_margin,quick_ratio,research_and_development,retained_earnings,sale_and_purchase_of_stock,"sales,_general_and_admin.",short-term_debt_/_current_portion_of_long-term_debt,short-term_investments,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_&_equity,total_revenue,treasury_stock,for_year,earnings_per_share,estimated_shares_outstanding,year,symbol,price_year,yearly_price,security,sec_filings,gics_sector,gics_sub_industry,address_of_headquarters,date_first_added,cik,pe_ratio
ROK,9/30/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,ROK,2013,,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478,
ROK,9/30/2014,0.000402253,3.365853659,0.701754386,0.068965517,-0.035567715,0.038667582,0.058823529,-0.007994004,15.125,0,0.024218523,-0.021008403,0.39646979,,0.050275482,0.145613361,0.156285044,-63.83333333,,0.027435065,0.026979472,0.024390244,0.069974357,0.368655387,0.156954887,-0.026272578,-0.043873903,10.61711712,-0.584415584,-0.005192796,,,,5.636363636,-1.032323232,0.018230193,0.147822261,0.882398754,0.093216977,-0.279017857,0.093216977,0.093216977,0.002689735,,0.142553808,0.125,-0.065821256,0.272333044,0.00269324,0.159349395,-1,-0.044117647,0.203138515,-0.671506352,,0.133333333,0.131578947,0,0,,0.116813587,0.637152778,0.02107043,0.815642458,0.686342903,0.064965951,0.069105139,0.095423059,0.028079675,0.094228468,0.064965951,0.04275886,0.140052968,0.000496771,0.101289134,-0.007329735,2014,ROK,2014,0.220681239,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478,0.108411225
ROK,9/30/2015,-0.047547246,-2.366852886,-1.567010309,0.193548387,-0.128368794,0.02631753,0.5,0.198102913,-1.19379845,0,-0.068430846,0.261802575,1.405444823,,0.06557377,-0.001927105,-0.005907247,1.564986737,,-0.043134776,-0.020750048,0.023809524,-0.018446567,-0.024398178,-0.067831032,0.074198988,-0.089734874,-0.593253199,0.9625,0.666925811,,,,0.844520548,-25.58333333,0.149424175,0.165389038,-0.489242863,0.000967586,0.031991744,0.000967586,0.000967586,-0.24526934,,0.010897111,0.055555556,-0.035552683,0.165644172,0.021219447,0.407805907,,-0.773964497,0.354934785,-0.740331492,,0.058823529,0.162790698,0.083333333,0.277777778,,0.098623853,0.426564157,-0.040570664,-1,0.148607796,0.028983179,-0.00950638,-0.215353702,-0.150972499,0.1631148,0.028983179,-0.047648524,0.181675321,0.000496524,0.028428094,-0.026701437,2015,ROK,2015,-0.038409812,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478,-0.064990354
ROK,9/30/2016,-0.046754617,-1.257493188,-2.145454545,0,-0.048820179,0.023258811,-0.240740741,0.069431794,-2.84,0,-0.055703506,-0.278911565,0.281123686,,0.059692308,-0.14842176,-0.163547672,-0.891416753,,-0.04507926,0.043837481,-0.023255814,-0.084199623,-0.288429476,0.112418301,0.119309262,-0.016803585,0.757864633,-2.464968153,0.01026051,,,,0.665800223,-0.580084746,-0.202408015,-0.345995724,0.782098015,-0.118293862,-0.188,-0.118293862,-0.118293862,0.036503362,,-0.157600067,-0.105263158,1.512064343,-0.121637427,0.641504471,0.153004646,-1,6.261780105,0.227090124,-6.212765957,,-0.111111111,-0.06,-0.076923077,-0.268774704,,0.066109951,-0.123954655,-0.025889538,,0.250588724,0.108748263,0.073958119,0.488212699,-0.118176179,0.232213891,0.108748263,-0.067914837,0.130124313,0.000496278,-0.089430894,-0.031697723,2016,ROK,2016,0.022679288,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478,0.123121004
ROP,12/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,ROP,2012,,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,882835,
ROP,12/31/2013,0.108738129,-1.836353525,-0.943212067,0,0.107355813,0.0615129,1.088235294,0.240508379,-1.690975437,0.00695825,0.025290292,0.860869565,-0.634136107,0.108199322,0.228836694,0.116629939,0.098224649,-1.18900507,,0.062619455,0.176057425,0.035714286,0.126343753,0.061557832,0.200291724,0.303798593,0.073642903,,-3.48974775,0.632509196,,,,-0.495212198,1.74339007,0.183964936,-0.527289868,-0.258831187,0.113648213,0.303141785,0.113648213,0.116056452,0.046661453,,0.111900019,0.04,0.110905999,-0.121447623,0.125973579,-0.264003963,-2.689855072,-0.268416784,0.050885542,-1.642302421,,0,-0.052631579,0.0625,0.87628866,,0.188499906,-0.739353965,0.138314025,-0.97877518,,0.15752519,0.102601919,-0.40794966,0.142452015,0.173954255,0.15752519,0.081723701,-0.010215491,0.000497018,0.096969697,0.015204172,2013,ROP,2013,0.234414306,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,882835,0.125294809
ROP,12/31/2014,0.007472625,-1.593427906,-4.229166667,0.076923077,-0.114841986,0.078182899,0.366197183,0.327829983,-1.500433515,0.007897335,0.068178129,0.126168224,-0.044381886,-0.061212929,0.042354537,0.187520557,0.221879517,35.48113998,,-0.054846134,0.035317158,0.017241379,0.116292816,0.276069441,-0.029623821,-0.10679358,-0.05444484,,-4.974049058,-0.107404896,,,,-1.576610228,0.690900931,0.047209343,-1.738552101,-0.688039661,0.200151219,0.186211959,0.200151219,0.200151219,-0.012435793,,0.186513858,0.076923077,-0.211168828,0.197670767,-0.08779833,-2.66949841,-1.395368782,-0.71075107,-0.004703999,-1.362256994,,0.130434783,0.055555556,0.058823529,0.153846154,,0.18958021,0.271432695,0.059447397,0.006899056,,0.026292547,0.10104439,-0.023548767,0.128721473,-0.082354401,0.026292547,0.096156174,-0.010372272,0.000496771,0.191528545,0.007236649,2014,ROP,2014,0.148622248,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,882835,-0.036009458
ROP,12/31/2015,0.047877211,-3.871696704,93.6,-0.071428571,-0.036765487,0.07086796,0.113402062,0.275348525,-1.181130887,0.006856024,-0.020617645,-0.066390041,0.146784987,0.101967041,0.035322698,0.086468958,0.087783899,0.347686228,,-0.048396407,0.236490782,0.016949153,0.029852529,0.112027681,0.278091138,0.071060697,-0.020117048,,-1.043474372,0.490409454,,,,-5.216408348,0.115261097,0.105163837,-4.341927649,3.878792318,0.077448056,-1.144287369,0.077448056,0.077448056,-0.078280319,,0.028459998,0.035714286,-0.012174894,-0.140025785,0.398406938,1.958263239,2.637744035,4.353561317,-0.184565385,-0.387434555,,0.076923077,0,0.055555556,-0.057142857,,0.167697526,0.60443469,0.031115014,-0.386494771,,0.210492983,0.070062595,0.146797421,0.114310378,0.335981289,0.210492983,0.009269209,-0.009287604,0.000496524,0.069551777,0.007382792,2015,ROP,2015,0.186653223,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,882835,0.109486467
ROST,2/2/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,ROST,2013,,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/2009,745732,
ROST,2/1/2014,-0.020754515,,,-0.066666667,0.297056786,0.079712043,-0.326086957,-0.34571194,-0.394722549,-0.033076575,0.049846622,-0.062937063,,-0.301657157,0.111164423,0.062036109,0.062036109,,,0.255822067,,0,0.058971737,0.058410604,,,0.039626641,-13.72705018,-0.955342991,0,-0.151806127,,,,71.73682498,0.043239177,0.224049092,0.324350988,0.064239167,1.992784459,0.064239167,0.064239167,-0.089785564,,0.05607387,0,0.064696486,0.081352446,,-0.335042735,,0.373991457,0.165111521,-0.317742158,,0,-0.069444444,0,-0.24137931,,0.203674464,0.218013349,0.061534781,,10.0450782,0.061635265,-0.080863354,-0.020754515,0.136082424,-0.007460742,0.061635265,0.052390144,0.325500502,0.000497018,0.094707521,-0.027832415,2014,ROST,2014,0.103632155,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/2009,745732,0.008152529
